Country,Wave,B001,B002,B003,B008
ROU,3,,66.189111747851,,53.42323651452282
ROU,5,38.17733990147783,35.073710073710075,84.23312883435582,51.950464396284836
ROU,6,,,,37.331440738112136
ROU,7,,,,40.35087719298245
RUS,2,77.68331562167906,66.36069114470843,48.701298701298704,
RUS,3,,63.646170442286945,,56.07649599012955
RUS,5,,,,54.81823427582228
RUS,6,,,,55.368234250221825
RUS,7,,,,48.93617021276596
RWA,5,64.67730742539904,63.176144244105416,76.56988521269412,59.34515688949522
RWA,6,,,,22.134905042567123
SAU,4,,,,39.55870764381403
SGP,4,63.17204301075269,45.05050505050505,73.6,35.78167115902965
SGP,6,,,,42.71943176052765
SGP,7,,,,58.42050209205021
SLV,3,,83.99668325041459,,84.65473145780051
SRB,3,,72.0675105485232,,45.89331075359864
SRB,4,80.49678012879485,73.6007462686567,55.12239347234814,44.8589626933576
SRB,5,54.52930728241563,49.502262443438916,67.41573033707866,56.244689889549704
SRB,7,,,,46.93028095733611
SVK,2,75.48387096774194,58.06451612903226,59.78494623655914,
SVK,3,,54.11423039690223,,46.93675889328063
SVK,7,,,,52.79503105590062
SVN,3,,66.35706914344685,,47.48953974895397
SVN,5,70.34412955465586,54.42386831275721,59.794871794871796,53.89408099688473
SVN,6,,,,47.12871287128713
SWE,3,,83.76421923474663,,64.8854961832061
SWE,4,78.80597014925374,76.93069306930693,43.08617234468938,72.38883143743536
SWE,5,70.49345417925478,69.50354609929079,29.868819374369327,64.25661914460285
SWE,6,,,,64.27955133735979
THA,5,86.48825065274151,74.18300653594771,66.01307189542483,46.08695652173913
THA,6,,,,58.1787521079258
THA,7,,,,52.567567567567565
TJK,7,,,,43.666666666666664
TTO,5,74.67071935157041,59.33062880324543,78.14702920443102,58.93416927899686
TUN,6,,,,35.68118628359592
TUN,7,,,,34.99562554680665
TUR,2,,72.29524772497471,,
TUR,3,,79.7509474824039,,53.62554112554112
TUR,4,,,,68.42265529841657
TUR,5,83.57862122385747,78.15646785437646,72.6134585289515,56.215360253365
TUR,6,,,,52.01072386058981
TUR,7,,,,57.59139784946237
TWN,3,,85.6951871657754,,64.16893732970027
TWN,5,83.48323793949305,64.75878986099755,40.39247751430908,49.67213114754098
TWN,6,,,,62.563237774030355
TWN,7,,,,63.94112837285364
TZA,4,84.37775816416593,74.56140350877193,74.34869739478958,61.77007299270073
UGA,4,44.97409326424871,43.95161290322581,60.28084252758275,37.66632548618219
UKR,3,,55.565489494859186,,56.9814731134207
UKR,5,47.194719471947195,47.176079734219265,88.90063424947145,55.12010113780025
UKR,6,,,,48.4
UKR,7,,,,51.14235500878734
URY,3,,59.6292481977343,,63.986409966024915
URY,5,44.16846652267819,42.934782608695656,82.03781512605042,48.91676168757127
URY,6,,,,69.70684039087948
URY,7,,,,69.5837780149413
USA,3,,55.87837837837838,,52.34708392603129
USA,4,69.30193439865432,61.00840336134454,57.251264755480605,60.79105760963026
USA,5,51.4379622021364,50.5358615004122,64.82246077621801,54.25971877584781
USA,6,,,,38.07339449541284
USA,7,,,,53.25790089738588
UZB,6,,,,66.35780470420526
UZB,7,,,,55.873925501432666
VEN,3,,64.46568201563856,,45.386766076421246
VEN,4,,,,70.01763668430335
VEN,7,,,,37.983193277310924
VNM,4,96.04166666666667,90.39487726787621,37.85249457700651,60.85561497326203
VNM,5,96.24645892351275,90.77809798270894,47.59511844938981,59.7212543554007
VNM,7,,,,71.72643869891576
YEM,6,,,,38.32752613240418
ZAF,3,,42.608695652173914,,29.1527931927488
ZAF,4,52.67988252569751,41.75502742230348,77.98628653915554,35.30478955007257
ZAF,5,53.69549150036955,46.3944076526858,77.5207806288399,30.897855325336245
ZAF,6,,,,36.930048145001415
ZMB,5,49.193548387096776,44.72727272727273,68.38288614938361,37.37151248164464
ZWE,4,69.1817215727949,46.178686759956946,69.75763962065332,35.56701030927835
ZWE,6,,,,38.266666666666666
ZWE,7,,,,53.8971807628524
